,country,city,phase,start_year,end_year,rr,length,tunnelper,tunnel,elevated,atgrade,stations,platform_length_meters,cost,currency,year,ppp_rate,real_cost,cost_p_km_millions,anglo,inflation_index,real_cost_2021_dollars,cost_p_km_2021_dollars
121,IR,Tehran,Line 6,,2020,0.0,31,1,31,0,0,29,,90000000,IRR,2017.0,6.4e-05,5760.0,185.80645161290323,0.0,1.1054585509138382,6367.441253263708,205.40133075044218
122,IR,Tehran,Line 7,,2019,0.0,27,1,27,0,0,25,,90000000,IRR,2017.0,6.4e-05,5760.0,213.33333333333334,0.0,1.1054585509138382,6367.441253263708,235.83115752828547
206,IN,Nagpur,Phase 2,,,0.0,43.8,0,0,0,0,32,,112160,INR,2018.0,0.048,5383.68,122.9150684931507,0.0,1.079101737506322,5809.538442178036,132.63786397666752
266,CN,Shanghai,Line 2 Western Extension 2,,2010,0.0,8.53,,,,,3,,2500,CNY,2010.0,0.3,750.0,87.92497069167645,0.0,1.2426624353377114,931.9968265032835,109.26105820671555
268,CN,Shanghai,Line 3 Northern Extension,,2006,0.0,15.365,0.128799219,1.979,13.395,0.1306,10,,3500,CNY,2006.0,0.349,1221.5,79.49886104783599,0.0,1.3440972222222225,1641.8147569444448,106.8541983042268
269,CN,Shanghai,Line 4 Phase 1,,2005,0.0,22.032,0.9432643428,20.782,1.285,0.0368,9,,12600,CNY,2005.0,0.3519,4433.94,201.24999999999997,0.0,1.3874551971326166,6151.8930967741935,279.22535842293905
274,CN,Shanghai,Line 8 Phase 2,,2009,0.0,14.44,0.5706371191135734,8.24,6.2092,0,8,,5332,CNY,2009.0,0.317,1690.244,117.05290858725762,0.0,1.2630455352689747,2134.8551377151725,147.84315358138315
275,CN,Shanghai,Line 9 Phase 1,,2008,0.0,30.687,0.4817023495,14.782,15.9588,0,13,,19000,CNY,2008.0,0.315,5985.0,195.03372763711016,0.0,1.2585519012740187,7532.433129125002,245.46006873024413
281,CN,Shanghai,Line 11 Phase 2,,2013,0.0,22.886,,,,,13,,12965,CNY,2013.0,0.273,3539.445,154.65546622389235,0.0,1.16317603677932,4116.997607498381,179.8915322685651
282,CN,Shanghai,Line 11 Huaqiao,,2013,0.0,6,0,0,6,0,3,,1849,CNY,2013.0,0.273,504.77700000000004,84.12950000000001,0.0,1.16317603677932,587.1445103173548,97.85741838622582
283,CN,Xuzhou,Line 3 Phase 2,4 years,,0.0,6.5,1,6.5,0,0,5,,5015.4,CNY,2020.0,0.239,1198.6806,184.4124,0.0,1.0469802288156225,1254.9948888648476,193.07613674843807
285,CN,Xuzhou,Line 5 Phase 1,5 years,,0.0,24.6,1,24.6,0,0,20,,16830,CNY,2020.0,0.239,4022.37,163.5109756097561,0.0,1.0469802288156225,4211.341862981095,171.19275865776808
289,CN,Shenzhen,Line 3 Phase 4,,2022,0.0,9.35,0.7935828877,7.42,0,0,7,,10785,CNY,2020.0,0.239,2577.615,275.6807486631016,0.0,1.0469802288156225,2698.7119424985804,288.6322933153562
293,CN,Shenzhen,Line 16 Phase 2,not started,,0.0,9.53,1,9.53,0,0,7,138,10995,CNY,2020.0,0.239,2627.805,275.74029380902414,0.0,1.0469802288156225,2751.2598801828367,288.69463590585906
294,CN,Shenzhen,Line 7 Phase 2,not started,,0.0,2.45,1,2.45,0,0,2,,2806,CNY,2020.0,0.239,670.634,273.72816326530614,0.0,1.0469802288156225,702.1405387715362,286.5879750087903
295,CN,Shenzhen,Line 8 Phase 3,,2025,0.0,4.26,1,4.26,0,0,,,8318,CNY,2020.0,0.239,1988.002,466.66713615023474,0.0,1.0469802288156225,2081.398788845915,488.591264987304
296,CN,Shenzhen,Line 11 Phase 2,not started,,0.0,5.58,1,5.58,0,0,3,,6634,CNY,2020.0,0.239,1585.5259999999998,284.1444444444444,0.0,1.0469802288156225,1660.0143742731184,297.4936154611323
308,CN,Hefei,Line 7 Phase 1,not started,,0.0,21,1,21,0,0,17,,16881,CNY,2020.0,0.239,4034.5589999999997,192.12185714285712,0.0,1.0469802288156225,4224.103504990128,201.1477859519109
309,CN,Hefei,Line 8 Phase 1,not started,,0.0,23,1,23,0,0,12,,16201,CNY,2020.0,0.239,3872.0389999999998,168.34952173913044,0.0,1.0469802288156225,4053.9482782030136,176.2586207914354
311,CN,Shanghai,Line 1 Western Extension,,,0.0,1.2,0,0,0,0,1,,3575,CNY,2018.0,0.237,847.275,706.0625,0.0,1.079101737506322,914.2959246456691,761.9132705380575
312,CN,Shanghai,Line 20 Phase 1,,,0.0,19.8,1,19.8,0,0,16,,39354,CNY,2018.0,0.237,9326.898,471.0554545454545,0.0,1.079101737506322,10064.67183734424,508.31675946183026
314,CN,Wuhan,Line 11 Phase 3,,,0.0,9.9,1,9.9,0,0,6,,13515,CNY,2019.0,0.238,3216.5699999999997,324.9060606060606,0.0,1.059896658413421,3409.2317945528575,344.36684793463206
315,CN,Shanghai,Line 19,,,0.0,44.5,1,44.5,0,0,32,,60524,CNY,2018.0,0.237,14344.188,322.34130337078653,0.0,1.079101737506322,15478.838193917336,347.83906053746824
316,CN,Shanghai,Line 21 Phase 1,,,0.0,28,1,28,0,0,16,,36956,CNY,2018.0,0.237,8758.572,312.80614285714285,0.0,1.079101737506322,9451.390263274223,337.5496522597937
317,CN,Shanghai,Line 13 Western Extension,,,0.0,9.8,1,9.8,0,0,5,,12629,CNY,2018.0,0.237,2993.073,305.41561224489794,0.0,1.079101737506322,3229.83027478326,329.57451783502654
319,CN,Shanghai,Line 23 Phase 1,,,0.0,28,1,28,0,0,22,,33729,CNY,2018.0,0.237,7993.772999999999,285.49189285714283,0.0,1.079101737506322,8626.094333531124,308.07479762611155
342,CN,Wuhan,Line 2 Southern Extension,,,0.0,13.35,1,13.35,0,0,10,,16017,CNY,2014.0,0.266,4260.522,319.1402247191011,0.0,1.144608340091917,4876.629014345094,365.2905628722917
352,CN,Hangzhou,Line 10 Phase 1,,2021,0.0,15.184,1,15.184,,,12,138,15702,CNY,2021.0,0.239,3752.778,247.15345100105375,0.0,1.0,3752.778,247.15345100105375
355,CN,Nanchang,Line 3,,2021,0.0,28.5,1,28.5,,,22,117,22347,CNY,2021.0,0.239,5340.933,187.40115789473685,0.0,1.0,5340.933,187.40115789473685
358,CN,Wuhan,Line 19,,,0.0,20.6,1,20.6,0,0,6,,17190,CNY,2018.0,0.237,4074.0299999999997,197.76844660194172,0.0,1.079101737506322,4396.292851652881,213.4122743520816
362,CN,Nanning,Line 5 Phase 1,,2021,0.0,20.22,1,20.22,,,17,117,16400,CNY,2021.0,0.239,3919.6,193.84767556874382,0.0,1.0,3919.6,193.84767556874382
363,CN,Shanghai,Line 8 Phase 1,,2009,0.0,23.22,1,23.22,0,0,22,,14493,CNY,2001.0,0.368,5333.424,229.69095607235144,0.0,1.5300395256916999,8160.349527272729,351.4362414846137
369,CN,Zhengzhou,Line 14 Phase 1,,,0.0,8.3,1,8.3,0,0,6,,6684,CNY,2019.0,0.238,1590.792,191.66168674698793,0.0,1.059896658413421,1686.0751250308028,203.14158132901238
370,CN,Zhengzhou,Line 6 Phase 1,,,0.0,36.5,0.9232876712,33.7,2.51,0.41,24,,29304,CNY,2019.0,0.238,6974.352,191.07813698630136,0.0,1.059896658413421,7392.09237939896,202.52307888764273
377,CN,Zhengzhou,Line 7 Phase 1,,,0.0,26.9,1,26.9,0,0,20,,21158,CNY,2019.0,0.238,5035.603999999999,187.19717472118958,0.0,1.059896658413421,5337.219852693256,198.40965995142219
387,CN,Xi'an,Line 8,,,0.0,50,1,50,0,0,35,,38286,CNY,2019.0,0.238,9112.068,182.24136,0.0,1.059896658413421,9657.850424435865,193.15700848871728
397,CN,Nanning,Line 4 Phase 1,,2020,0.0,24.98,1,24.98,,,19,117,17330,CNY,2020.0,0.239,4141.87,165.8074459567654,0.0,1.0469802288156225,4336.456000324562,173.59711770714821
402,CN,Shenyang,Line 2 Southern Extension,,,0.0,14.3,,,,,8,,10170,CNY,2019.0,0.238,2420.46,169.26293706293706,0.0,1.059896658413421,2565.437465823349,179.40122138624818
431,CN,Suzhou,Line 8,,,0.0,35.2,1,35.2,0,0,26,,23660,CNY,2018.0,0.237,5607.42,159.30170454545453,0.0,1.079101737506322,6050.976664927701,171.90274616271876
432,CN,Suzhou,Line S1,,,0.0,41,,,,,27,,27370,CNY,2018.0,0.237,6486.69,158.21195121951217,0.0,1.079101737506322,6999.798449664884,170.72679145524106
436,CN,Changchun,Line 6,,,0.0,29.7,1,29.7,0,0,22,,19549,CNY,2018.0,0.237,4633.112999999999,155.9970707070707,0.0,1.079101737506322,4999.600288363128,168.33671004589655
440,CN,Wuhan,Line 6 Phase 2,,,0.0,7,1,7,0,0,5,,4558,CNY,2018.0,0.237,1080.2459999999999,154.32085714285714,0.0,1.079101737506322,1165.6953355342544,166.52790507632204
448,CN,Xi'an,Line 2 Phase 2,,,0.0,7,1,7,0,0,4,,4289,CNY,2019.0,0.238,1020.7819999999999,145.826,0.0,1.059896658413421,1081.9234307685688,154.56049010979552
450,CN,Xi'an,Line 14,,,0.0,13.8,1,13.8,0,0,8,,8315,CNY,2019.0,0.238,1978.9699999999998,143.4036231884058,0.0,1.059896658413421,2097.5036901004078,151.99302102176867
455,CN,Shanghai,Chongming,,,0.0,44.6,0.59,26.1,0,0,8,,26426,CNY,2018.0,0.237,6262.9619999999995,140.42515695067263,0.0,1.079101737506322,6758.37317613607,151.53303085506883
457,CN,Wuhan,Xingang,,,0.0,30.2,0.8410596026,25.4,0,0,11,,17681,CNY,2018.0,0.237,4190.397,138.7548675496689,0.0,1.079101737506322,4521.864683541279,149.7306186603073
463,CN,Chongqing,Line 4 Phase 2,,,0.0,32.6,0.6340490798,20.67,0,0,14,,18068,CNY,2018.0,0.237,4282.116,131.35325153374234,0.0,1.079101737506322,4620.838815803622,141.74352195716634
471,CN,Wuhan,Line 8 Phase 3,,,0.0,4.9,1,4.9,0,0,2,,2597,CNY,2018.0,0.237,615.4889999999999,125.60999999999997,0.0,1.079101737506322,664.1752493160286,135.5459692481691
475,CN,Wuhan,Line 7 Northern Extension,,,0.0,33.6,0.4047619048,13.6,0,0,9,,17559,CNY,2018.0,0.237,4161.483,123.85366071428571,0.0,1.079101737506322,4490.663535903022,133.65070047330423
481,CN,Changchun,Line 4 Southern Extension,,,0.0,4,0,0,0,0,6,,2013,CNY,2018.0,0.237,477.08099999999996,119.27024999999999,0.0,1.079101737506322,514.8189360312537,128.7047340078134
483,CN,Wuhan,Line 21,,,0.0,33.7,0.7181008902,24.2,9.773,0,15,,16107,CNY,2015.0,0.258,4155.606,123.31175074183975,0.0,1.143251327963817,4750.902077994406,140.97632278915148
485,CN,Shanghai,Line 11 (to Disney),,2016,0.0,9.15,0.1595628415,1.46,7.73,0.0475,3,,4371,CNY,2012.0,0.2808,1227.3768,134.13954098360657,0.0,1.1802137686524912,1448.5669986846349,158.3133331895776
492,CN,Tianjin,M3 Phase 2,,,0.0,3.9,0,0,3.75,0.15,3,,1704,CNY,2015.0,0.258,439.632,112.72615384615385,0.0,1.143251327963817,502.6098678153888,128.8743250808689
502,CN,Changchun,Line 3 Southern Extension,,,0.0,3,0.2666666667,0.8,0,0,2,,839,CNY,2018.0,0.237,198.843,66.28099999999999,0.0,1.079101737506322,214.5718267909696,71.52394226365652
506,CN,Wenzhou,S1 Phase 1,,,0.0,53.5,,,,,,,18606.83,CNY,2014.0,0.266,4949.4167800000005,92.5124631775701,0.0,1.144608340091917,5665.1437249788805,105.8905369154931
507,CN,Wenzhou,S2 Phase 1,,,0.0,70.299,,,,,,,26200,CNY,2014.0,0.266,6969.200000000001,99.13654532781405,0.0,1.144608340091917,7977.004443768588,113.47251659011631
511,CN,Lanzhou,Line 1 Phase 1,,2019,0.0,25.9,1,25.9,,,20,138,19816,CNY,2019.0,0.238,4716.208,182.09297297297297,0.0,1.059896658413421,4998.693099582643,192.99973357461946
548,CN,Shenzhen,Line 1 Phase 2,,,0.0,23.5,0.7787234042553192,18.3,3.43,1.975,15,,12126,CNY,2019.0,0.238,2885.988,122.80799999999999,0.0,1.059896658413421,3058.849037421232,130.1637888264354
549,CN,Shenzhen,Line 2,,,0.0,35.8,1,35.8,0,0,29,,17787,CNY,2019.0,0.238,4233.306,118.24877094972067,0.0,1.059896658413421,4486.866883441486,125.33147719110295
550,CN,Shenzhen,Line 3,,,0.0,41.5,0.44626506024096385,18.52,23.24,0,30,,16858,CNY,2019.0,0.238,4012.2039999999997,96.67961445783132,0.0,1.059896658413421,4252.521612472961,102.4704003005533
551,CN,Shenzhen,Line 4 Phase 2,,,0.0,15.94,0.3193224592220828,5.09,10.9986,0,10,,5799,CNY,2019.0,0.238,1380.162,86.58481806775409,0.0,1.059896658413421,1462.8290918691841,91.77095933934656
552,CN,Shenzhen,Line 5,,,0.0,40.1,0.8927680798004987,35.8,4.411,0,27,,20558,CNY,2019.0,0.238,4892.804,122.01506234413965,0.0,1.059896658413421,5185.86660987182,129.32335685465887
553,CN,Shenzhen,Line 7,,2016,0.0,30.2,1,30.2,0,0,28,,26876,CNY,2013.0,0.273,7337.148,242.95192052980133,0.0,1.16317603677932,8534.394731903314,282.5958520497786
554,CN,Shenzhen,Line 9,,,0.0,25.33,1,25.33,0,0,22,,22371,CNY,2019.0,0.238,5324.298,210.1973154362416,0.0,1.059896658413421,5643.2056585972605,222.78743223834428
649,IT,Milan,M2 (Famagosta-Assago),?,2011,0.0,4.8,0,0,0,4.8,2,110,70,EUR,2005.0,1.3,91.0,18.958333333333336,0.0,1.3874551971326166,126.25842293906811,26.303838112305858
650,IT,Milan,M3 (Maciachini-Comasina),?,2011,0.0,3.9,1,3.9,0,0,4,110,267,EUR,2005.0,1.3,347.1,89.00000000000001,0.0,1.3874551971326166,481.5856989247312,123.48351254480289
685,CN,Wuxi,Line 1 South,,2019,0.0,5.187,1,5.187,,,3,117,2598,CNY,2019.0,0.238,618.324,119.2064777327935,0.0,1.059896658413421,655.3595414168201,126.34654741022172
703,CN,Jinan,Line 3 Phase 1,,2022,0.0,21.57,1,21.6,,,13,117,13446,CNY,2021.0,0.239,3213.594,148.98442280945758,0.0,1.0,3213.594,148.98442280945758
707,CN,Ningbo,Ningbo-Fenghua Line,,2019,0.0,21.59,0.04,0.84,,,9,117,7386,CNY,2019.0,0.238,1757.868,81.42047244094488,0.0,1.059896658413421,1863.1584191318836,86.29728666659952
709,CN,Ningbo,Line 4,,2021,0.0,35.95,0.68,24.45,,,25,117,20560,CNY,2021.0,0.239,4913.84,136.68539638386648,0.0,1.0,4913.84,136.68539638386648
713,CN,Ningbo,Line 3 Phase 1,,2019,0.0,16.73,1,16.73,,,15,117,14870,CNY,2019.0,0.238,3539.06,211.53974895397488,0.0,1.059896658413421,3751.037867924602,224.21027303793196
714,CN,Qingdao,Line 11,,2018,0.0,58.35,0.1,5.81,,,22,117,19500,CNY,2018.0,0.237,4621.5,79.20308483290488,0.0,1.079101737506322,4987.068679885468,85.46818645904828
715,CN,Qingdao,Qingdao-Pingdu Intercity Rail,,2020,0.0,60,0.2,12,,,10,117,20763,CNY,2020.0,0.239,4962.357,82.70595,0.0,1.0469802288156225,5195.489667324806,86.59149445541344
717,CN,Qingdao,Line 8,,2021,0.0,61.4,,,,,16,117,32100,CNY,2021.0,0.239000000000001,7671.9000000000315,124.94951140065199,0.0,1.0,7671.9000000000315,124.94951140065199
720,CN,Qingdao,Line 1 + Line 7 Phase 1,,2021,0.0,59.97,1,59.97,,,40,117,39990,CNY,2021.0,0.239000000000001,9557.610000000039,159.3731865932973,0.0,1.0,9557.610000000039,159.3731865932973
727,CN,Urumqi,Line 2,,2021,0.0,19.35,,,,,16,138,16260,CNY,2021.0,0.239000000000001,3886.1400000000162,200.8341085271326,0.0,1.0,3886.1400000000162,200.8341085271326
750,CN,Shenyang,Line 4 Phase 1,,2022,0.0,34.2,1,34.2,,,23,117,16632,CNY,2021.0,0.239000000000001,3975.0480000000166,116.229473684211,0.0,1.0,3975.0480000000166,116.229473684211
766,CN,Zhengzhou,Zhengxu Regional Rail (Xucheng Section),,2022,1.0,33.78,0.12,4.016,,,11,117,9879,CNY,2021.0,0.239000000000001,2361.0810000000097,69.89582593250472,0.0,1.0,2361.0810000000097,69.89582593250472
775,CN,Changchun,Line 2,,2020,0.0,22.8,1,22.8,,,19,117,15400,CNY,2020.0,0.239,3680.6,161.4298245614035,0.0,1.0469802288156225,3853.5154301787798,169.01383465696404
823,CN,Guiyang,Line 2 Phase 1,,2021,0.0,27.6,1,27.6,,,24,117,19459,CNY,2021.0,0.239000000000001,4650.701000000019,168.50365942029055,0.0,1.0,4650.701000000019,168.50365942029055
824,CN,Hangzhou,Hangzhou-Haining Line,,2021,0.0,48.18,0.31,14.81,,,12,78,13611,CNY,2021.0,0.239000000000001,3253.0290000000136,67.51824408468272,0.0,1.0,3253.0290000000136,67.51824408468272
830,CN,Hangzhou,Hangfu Line,,2021,0.0,23.508,1,23.508,,,11,117,13298,CNY,2021.0,0.239000000000001,3178.222000000013,135.19746469287108,0.0,1.0,3178.222000000013,135.19746469287108
835,CN,Hangzhou,Line 6 Phase 1,,2021,0.0,26.955,1,26.955,,,19,117,17830,CNY,2021.0,0.239000000000001,4261.370000000018,158.09200519384225,0.0,1.0,4261.370000000018,158.09200519384225
877,CN,Wuhu,Line 1,,2021,0.0,30.517,0,0.1,,,25,90,9100,CNY,2021.0,0.239000000000002,2174.9000000000183,71.26847330995898,0.0,1.0,2174.9000000000183,71.26847330995898
878,CN,Wuhu,Line 2,,2021,0.0,14.94,0.09,1.3,,,11,90,5533,CNY,2021.0,0.239000000000002,1322.387000000011,88.51318607764465,0.0,1.0,1322.387000000011,88.51318607764465
887,CN,Xi'an,Line 1 Phase 1,,2013,0.0,25.36,1,25.36,,,19,117,13490,CNY,2013.0,0.273,3682.7700000000004,145.2196372239748,0.0,1.16317603677932,4283.709812969777,168.9160020887136
